title,company,location,link
[연4100만-상여300프로] 반도체 생산사원모집/3조2교대/통근운행,(주)에이치알에스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41429691
[월 400만원] 대기업 단순 제조포장 / 시급12000원 / 주급가능,(주)태성시스템,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41377429
[삼이송메탈] 영업 및 영업관리 담당직원 모집,(주)삼이송메탈,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41246912
[현대1차.주급가능.상여400]수출용부품 단순포장/분류 사원 채용,주식회사 위드웍스,경기전체,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41339365
[뷰티라운지의원 동탄점] 피부간호조무사 정규직 채용,뷰티라운지의원 동탄점,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41374060
연4천/상여540-대덕전자 새공장 오픈 신입 경력무관 대규모채용,주식회사 인풍코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41396079
"㈜엠투엔_ 회계,개발,CS(하이닉스內),생산팀 신입/경력사원 채용",(주)엠투엔,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41404930
(주)원라인 총무 채용공고,(주)원라인,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41419172
[대덕전자] 2021년 4분기 신입(경력무관)사원 생산직 대규모채용,주식회사 인풍코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41435483
PCB 공정별 신입/ 신뢰성검사 경력사원 모집,(주)모닝코리아케이,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41335364
간호조무사 사회복지사 의무기록사 시설관리 구인,(의)오산의료재단,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41205978
"종합검진 및 특수검진(간호사, 간호조무사, 임상병리사)",조은오산병원,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41418121
[오산평택/연봉 3500이상] [OB맥주] 수입맥주 영업직 채용공고,이케이맨파워(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41443557
[오산/12개월] 스튜디오 사진&영상 촬영 및 편집 직원 채용,맨파워코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41445523
[경기오산시 세교동/급여협의] 호반건설 분양사업소 사무직 채용,(주)사람인에이치에스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41305383
"오산사업장 정규직원모집(생산,공무,품질,자재)",대한공조(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41401227
[오산쿠팡/경력무관]  물류사원/상차(HUB) 사원님 다수채용,쿠팡풀필먼트서비스(유),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41178322
"[쿠팡CFS] 오산물류센터 HR(인사/채용) 주간,오후 사무직원 채용",쿠팡풀필먼트서비스(유),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41272917
[오산/동탄/1호선세마역 ] 건설사분양입주 행정 사무직 사무,㈜휴먼리소스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41397236
[쿠팡]오산센터 현장관리자(Team Captain)정규직 채용(경력무관),쿠팡풀필먼트서비스(유),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41438420
"[오산, 수원, 송탄]신세계푸드 단순식품생산 사원채용",(주)블루에이치알,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41229484
쿠팡 물류현장 지원/사무업무 보조 Flex Assistant 채용,쿠팡(주),전국,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41367823
[동탄/주5일/셔틀버스] 소형부품 사출 담당 직원 모집#,맨파워코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41424243
[삼성전자 채용박람회] 2021년 신입 및 경력 공개 채용,이화다이아몬드공업(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41310031
[용인/식사제공] 물류센터 전산 사무직원 채용,맨파워코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41321895
[화성/주5일] 삼성협력업체 CAD보조 직원 채용,맨파워코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41404531
[BMW/안성/자차필] 자동차 수입부품 품질관리 사무직원 채용,맨파워코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41427122
[평택/BMW] 출고센터 사무 담당 직원 모집#,맨파워코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41248695
BMW VDC  사무직 직원 모집 (평택/맨파워코리아 무기계약직),맨파워코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41371929
[KoreaInstrument] 반도체 검사장비 생산직 정규직 채용,코리아인스트루먼트,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41397576
[용인/식사] 신축 물류센터 중간관리자 채용,맨파워코리아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41346019
[주5일/월230/워라벨/셔틀운행] 안성 대기업 물류센터 사원모집,(주)휴먼코아,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41442984
에프에스티 각 부문 신입/경력 사원 모집,(주)에프에스티,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41428015
[수원슬러지사업소] 하수슬러지 건조시설 신입사원 채용,(주)에코비트워터,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41419408
"각 부문 채용 (품질관리,환경팀,생산관리팀, 중앙연구소 증착장비)",(주)제이앤티씨,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41445638
[평택청북/서한워너] 2주2교대 생산팀인원 채용 선착순마감예정,동양산업,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41439293
[미국계자동차부품조립회사/송탄산업단지/월350]단순생산직 채용,㈜스탭솔루션,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41394588
LG전자 콜센터 정규직 상담사 모집 ( 동종업계 최고수준),(주)유안에이치알,경남,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41377813
배송 담당 인재 채용,(주)케이엠헬스케어,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41459569
수입식품 품질관리 업무를 담당한 팀원을 모십니다,(주)선인,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41060998
[삼성전자 채용박람회] 반도체공정 TRAP장비 C/S 인원모집,㈜테키스트,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41308401
